"Level of Financial Aid Need"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"LOW"
"MEDIUM"
"LOW"
"MEDIUM"
"NO NEED"
"MEDIUM"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"NO NEED"
"MEDIUM"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"MEDIUM"
"LOW"
"LOW"
"MEDIUM"
"HIGH"
"LOW"
"MEDIUM"
"NO NEED"
"LOW"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"MEDIUM"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"MEDIUM"
"MEDIUM"
"NO NEED"
"NO NEED"
"MEDIUM"
"LOW"
"MEDIUM"
"HIGH"
"MEDIUM"
"NO NEED"
"LOW"
"LOW"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"MEDIUM"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"LOW"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"LOW"
"HIGH"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"LOW"
"LOW"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"MEDIUM"
"HIGH"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"HIGH"
"NO NEED"
"HIGH"
"LOW"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"MEDIUM"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"LOW"
"NO NEED"
"MEDIUM"
"LOW"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"MEDIUM"
"NO NEED"
"NO NEED"
"LOW"
"LOW"
"MEDIUM"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"MEDIUM"
"NO NEED"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"MEDIUM"
"LOW"
"MEDIUM"
"NO NEED"
"LOW"
"MEDIUM"
"NO NEED"
"NO NEED"
"HIGH"
"HIGH"
"NO NEED"
"MEDIUM"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"MEDIUM"
"HIGH"
"HIGH"
"HIGH"
"LOW"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"HIGH"
"MEDIUM"
"HIGH"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"MEDIUM"
"MEDIUM"
"LOW"
"MEDIUM"
"NO NEED"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"MEDIUM"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"MEDIUM"
"MEDIUM"
"LOW"
"NO NEED"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"LOW"
"MEDIUM"
"HIGH"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"LOW"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"HIGH"
"NO NEED"
"HIGH"
"LOW"
"MEDIUM"
"NO NEED"
"MEDIUM"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"LOW"
"HIGH"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"MEDIUM"
"HIGH"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"MEDIUM"
"LOW"
"MEDIUM"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"HIGH"
"LOW"
"HIGH"
"LOW"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"LOW"
"LOW"
"NO NEED"
"MEDIUM"
"NO NEED"
"HIGH"
"NO NEED"
"NO NEED"
"NO NEED"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"LOW"
"MEDIUM"
"LOW"
"HIGH"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"HIGH"
"NO NEED"
"MEDIUM"
"NO NEED"
"LOW"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"NO NEED"
"LOW"
"NO NEED"
"NO NEED"
