"Dummy ID","Legacy"
"3.0405065E7","A"
"3.0120703E7","S"
"3.0097017E7","D"
"3.0366884E7","O"
"3.0208206E7","F"
"3.03543E7","S"
"3.0095652E7","O"
"2.9965535E7","A"
"3.0159794E7","F"
"2.9964092E7","D"
"3.0086253E7","F"
"3.0200549E7","F"
"2.9365351E7","S"
"3.0363764E7","A"
"3.0195869E7","O"
"3.0356978E7","O"
"3.0145052E7","B"
"3.0253771E7","D"
"3.0175589E7","F"
"3.0161809E7","O"
"3.0291484E7","O"
"3.007545E7","F"
"3.0175056E7","F"
"3.0415595E7","M"
"3.0198794E7","O"
"3.0236182E7","M"
"3.028527E7","B"
"3.0356939E7","O"
"3.013746E7","O"
"3.0315976E7","M"
"3.0367937E7","B"
"2.9938729E7","F"
"3.0276651E7","O"
"3.0101619E7","F"
"3.0143128E7","S"
"3.0277145E7","M"
"3.0123186E7","M"
"3.0278809E7","O"
"3.0168855E7","M"
"3.040201E7","F"
"3.0331472E7","F"
"3.0156284E7","C"
"3.0105636E7","S"
"3.0222259E7","S"
"3.0095067E7","O"
"2.9961856E7","S"
"3.0081638E7","O"
"3.0210377E7","S"
"3.0205424E7","F"
"3.0505594E7","D"
"2.9962987E7","A"
"3.023678E7","S"
"3.0155972E7","B"
"3.0222103E7","S"
"3.0168751E7","S"
"3.0262273E7","A"
"3.0310347E7","S"
"3.0145416E7","B"
"2.9963247E7","S"
"3.0120573E7","O"
"3.0209701E7","O"
"3.0279966E7","S"
"3.0381288E7","O"
"3.0082535E7","O"
"3.0177864E7","M"
"3.0182609E7","O"
"3.0199158E7","F"
"3.040708E7","F"
"3.0193503E7","O"
"3.0305615E7","O"
"3.0302209E7","O"
"3.0132221E7","O"
"3.0298582E7","S"
"3.0306473E7","F"
"3.0410629E7","S"
"3.0165007E7","S"
"3.0226445E7","O"
"3.0364895E7","F"
"3.0287818E7","F"
"3.0251223E7","M"
"3.0332759E7","F"
"3.0178631E7","B"
"3.0291289E7","M"
"3.0141217E7","O"
"3.038485E7","A"
"2.9963117E7","O"
"3.0080715E7","F"
"3.0349295E7","O"
"3.0220335E7","S"
"3.0093572E7","F"
"3.0264418E7","B"
"3.0311933E7","O"
"3.0388997E7","A"
"2.9930695E7","M"
"3.0132689E7","O"
"3.0252549E7","M"
"3.0156245E7","B"
"2.9365754E7","M"
"2.9930851E7","D"
"3.028722E7","B"
"3.0381119E7","B"
"3.0153021E7","S"
"3.0205476E7","O"
"3.0393118E7","O"
"3.0274753E7","O"
"3.020129E7","O"
"3.0402179E7","S"
"3.0095171E7","B"
"3.03894E7","A"
"3.032752E7","S"
"3.0410668E7","S"
"3.0118974E7","O"
"3.0085135E7","M"
"3.0169414E7","M"
"3.022105E7","F"
"3.0281149E7","B"
"2.9925599E7","F"
"2.9963325E7","F"
"2.9963572E7","M"
"3.0138695E7","M"
"3.0222337E7","M"
"3.0151747E7","S"
"3.0329457E7","S"
"2.9957228E7","B"
"3.0208908E7","O"
"3.034624E7","O"
"3.0217644E7","O"
"3.0339324E7","F"
"3.029385E7","O"
"3.017269E7","M"
