"Dummy ID","Gender","Minority Status","Residency","State","County Description","Zip 3","Nation Description","Residence Hall","Division","Cognate Area"
"3.0173483E7","M","Domestic Nonminority","R","OH","Delaware County^ OH","430","","Y","AP",""
"3.0087553E7","F","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","FA",""
"3.0111486E7","M","Domestic Nonminority","R","OH","Summit County^ OH","442","","Y","AP",""
"3.0170389E7","F","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","BU",""
"3.0093208E7","M","Domestic Minority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0432651E7","F","International","I","","","","China","Y","AP",""
"2.9676207E7","F","Domestic Minority","R","OH","Butler County^ OH","450","","","AP",""
"3.0344355E7","M","Domestic Nonminority","N","WI","Racine County^ WI","531","","Y","AP",""
"3.0455635E7","M","Domestic Minority","N","","","710","China","Y","BU",""
"3.0405663E7","F","Domestic Nonminority","R","OH","Trumbull County^ OH","444","","Y","AS","Natural Sciences"
"3.0252419E7","M","Domestic Nonminority","R","OH","Cuyahoga County^ OH","440","","Y","AP",""
"3.0163668E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","AS","Natural Sciences"
"3.0344498E7","M","Domestic Nonminority","N","IL","Lake County^ IL","600","","Y","AS","Natural Sciences"
"2.9966614E7","M","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","EA",""
"3.0509533E7","F","Domestic Minority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0298907E7","M","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","AP",""
"3.008377E7","F","Domestic Minority","R","OH","Cuyahoga County^ OH","441","","Y","AS","Natural Sciences"
"3.0457117E7","M","Domestic Nonminority","N","RI","Providence County^ RI","029","","Y","AS","University Studies"
"3.0315521E7","M","Domestic Nonminority","R","OH","Lucas County^ OH","435","","Y","AS","University Studies"
"3.0123199E7","F","Domestic Nonminority","N","MI","Wayne County^ MI","481","","Y","AP",""
"2.9965431E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","AS","Natural Sciences"
"3.0092623E7","M","Domestic Minority","N","IN","Lake County^ IN","463","","Y","AS","Natural Sciences"
"3.0381366E7","F","Domestic Nonminority","N","MN","Olmsted County^ MN","559","","Y","EA",""
"3.0242773E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0290002E7","M","Domestic Minority","R","OH","Licking County^ OH","430","","Y","AP",""
"2.9122173E7","M","Domestic Nonminority","N","IL","Cook County^ IL","600","","Y","AP",""
"3.0262741E7","F","Domestic Nonminority","N","CO","Garfield County^ CO","816","","Y","AS","Natural Sciences"
"3.0112773E7","F","Domestic Nonminority","R","OH","Mahoning County^ OH","444","","Y","AS","Natural Sciences"
"3.0483052E7","M","Domestic Nonminority","R","OH","Summit County^ OH","442","","Y","AP",""
"3.0284802E7","M","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","AP",""
"3.031907E7","M","Domestic Nonminority","N","IN","Marion County^ IN","462","","Y","AS","Natural Sciences"
"3.0375776E7","M","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","BU",""
"3.0388113E7","M","Domestic Nonminority","R","OH","Richland County^ OH","448","","Y","AP",""
"3.0151396E7","F","Domestic Minority","R","OH","Cuyahoga County^ OH","441","","Y","AS","Social Sciences"
"3.0187185E7","F","Domestic Nonminority","R","OH","Lucas County^ OH","436","","Y","EA",""
"3.0405845E7","M","Domestic Nonminority","R","OH","Portage County^ OH","442","","Y","AP",""
"3.0407119E7","M","International","I","","","","China","Y","BU",""
"3.0458612E7","F","Domestic Nonminority","R","OH","Delaware County^ OH","430","","Y","AS","Natural Sciences"
"3.0103205E7","F","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","BU",""
"3.0526888E7","M","International","I","","","","China","Y","AS","University Studies"
"3.0259803E7","F","International","I","","","","Vietnam","Y","AS","Natural Sciences"
"3.0093143E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","AS","Social Sciences"
"3.0302144E7","M","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","AS","Humanities"
"3.0214589E7","F","Domestic Nonminority","N","WI","Waukesha County^ WI","530","","Y","EA",""
"3.0395029E7","M","Domestic Nonminority","N","PA","Chester County^ PA","193","","Y","AP",""
"3.0433626E7","M","Domestic Nonminority","N","IN","Marion County^ IN","462","","Y","AS","Humanities"
"3.0208687E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","AP",""
"3.0220023E7","M","Domestic Minority","N","TX","Comal County^ TX","782","","Y","AS","Social Sciences"
"3.0362646E7","M","Domestic Nonminority","R","OH","Delaware County^ OH","430","","Y","AS","Natural Sciences"
"3.0234479E7","M","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","AP",""
"3.0190929E7","M","Domestic Nonminority","R","OH","Trumbull County^ OH","444","","Y","AP",""
"3.0364947E7","F","Domestic Nonminority","R","OH","Defiance County^ OH","435","","Y","AS","Natural Sciences"
"3.0247167E7","F","Domestic Nonminority","N","MO","Jackson County^ MO","641","","Y","AP",""
"3.011653E7","M","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","FA",""
"3.0103933E7","F","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","AS","Social Sciences"
"3.0174341E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0219048E7","F","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","AP",""
"2.9973751E7","F","Domestic Minority","R","OH","Cuyahoga County^ OH","441","Pakistan","Y","EA",""
"3.0341352E7","F","Domestic Nonminority","N","KS","Johnson County^ KS","662","","Y","AS","Natural Sciences"
