region,freq
alabama,2
california,17
colorado,4
connecticut,8
district of columbia,4
florida,3
georgia,2
illinois,66
indiana,20
kansas,1
kentucky,3
massachusetts,4
maryland,5
michigan,11
minnesota,5
missouri,3
north carolina,4
new hampshire,1
new jersey,15
new york,12
ohio,426
OK,2
oklahoma,1
pennsylvania,4
south carolina,1
tennessee,1
texas,8
virginia,6
washington,2
wisconsin,4
